Date-Time,Température à 500hPa (K),Température à 1000hPa (K)
2021-06-01 00:00:00,249.01255961328758,285.42916192362725
2021-06-01 01:00:00,248.66599737652862,285.19418222521875
2021-06-01 02:00:00,248.4165775849218,284.9893954489521
2021-06-01 03:00:00,248.20916533716456,284.64808415517433
2021-06-01 04:00:00,248.06476440518168,284.4524865291248
2021-06-01 05:00:00,247.9151125302176,284.33959125502906
2021-06-01 06:00:00,247.8127191420843,284.62182944026836
2021-06-01 07:00:00,248.0227568613321,285.2729463699367
2021-06-01 08:00:00,248.52816012327224,286.0500859311537
2021-06-01 09:00:00,249.12282941589268,286.90467690134335
2021-06-01 10:00:00,249.81989209664647,286.86266935749376
2021-06-01 11:00:00,250.37649205265325,287.7920862651655
2021-06-01 12:00:00,250.77031277624295,288.42613763014486
2021-06-01 13:00:00,250.8031311698754,288.76482345243204
2021-06-01 14:00:00,250.77950192646003,289.11269842493624
2021-06-01 15:00:00,250.8044439056207,289.2019644556166
2021-06-01 16:00:00,251.04598728275573,289.1927753053995
2021-06-01 17:00:00,251.34266556119331,288.2804239624167
2021-06-01 18:00:00,251.68003864773516,288.1622777453398
2021-06-01 19:00:00,252.09092493601372,288.0021239844133
2021-06-01 20:00:00,252.30358812675217,287.8813522958458
2021-06-01 21:00:00,252.4059815148855,287.73170042088174
2021-06-01 22:00:00,252.86937723297603,286.903364165598
2021-06-01 23:00:00,253.3183328578683,286.8784221864374
2021-06-02 00:00:00,253.56250170649392,286.90205142985275
2021-06-02 01:00:00,253.52968331286144,286.9847537818066
2021-06-02 02:00:00,253.47192294006828,287.0753325482322
2021-06-02 03:00:00,253.50342859795546,287.1173400920818
2021-06-02 04:00:00,253.69377528102382,287.12521650655356
2021-06-02 05:00:00,254.04690119650925,287.13046744953476
2021-06-02 06:00:00,254.31863749578613,287.5072226084356
2021-06-02 07:00:00,254.29238278088016,288.78188901712093
2021-06-02 08:00:00,254.1217271339913,289.53802480641315
2021-06-02 09:00:00,254.05609034672634,290.3873648336216
2021-06-02 10:00:00,254.20311675019983,291.0581727994694
2021-06-02 11:00:00,254.0022681811691,291.8602543398471
2021-06-02 12:00:00,253.86443092791268,292.373534016259
2021-06-02 13:00:00,253.90643847176227,292.7279726674897
2021-06-02 14:00:00,254.07184317566993,293.0154617957102
2021-06-02 15:00:00,254.388212490287,292.99183255229485
2021-06-02 16:00:00,254.80434972154677,292.89075189990683
2021-06-02 17:00:00,255.1811048804476,292.6072009789222
2021-06-02 18:00:00,255.39114259969543,292.27639157110684
2021-06-02 19:00:00,255.4318374077997,291.98496423565047
2021-06-02 20:00:00,255.36751335628006,291.7289807653172
2021-06-02 21:00:00,255.27562185410912,291.4664336162574
2021-06-02 22:00:00,255.26380723240143,290.3611101187156
2021-06-02 23:00:00,255.36882609202536,290.1366323062695
2021-06-03 00:00:00,255.39508080693133,289.9318455300029
2021-06-03 01:00:00,255.25724355367493,289.74674978991567
2021-06-03 02:00:00,255.1679775229946,289.5892215004798
2021-06-03 03:00:00,255.07871149231426,289.39493661017553
2021-06-03 04:00:00,254.9303723530955,289.26497577139094
2021-06-03 05:00:00,254.84241905816046,289.2964814292781
2021-06-03 06:00:00,254.7820332138767,289.3030451080046
2021-06-03 07:00:00,254.71902189810234,290.58033698818053
2021-06-03 08:00:00,254.55886813717586,291.27871240467965
2021-06-03 09:00:00,254.19786580721865,292.10048498123683
2021-06-03 10:00:00,253.9523842228477,293.20974668601446
2021-06-03 11:00:00,253.43122813196402,293.7952268284178
2021-06-03 12:00:00,252.99802533601536,294.25337160352717
2021-06-03 13:00:00,252.91007204108033,294.5487371462194
2021-06-03 14:00:00,253.28945267147174,294.5946828973049
2021-06-03 15:00:00,253.94844601561184,294.51329328109637
2021-06-03 16:00:00,254.45516201329724,294.28750273290495
