Latitude,Longitude
51.75,9.75
51.5,10.0
51.25,10.25
51.0,10.5
50.75,10.75
50.5,11.0
50.25,11.25
50.0,11.5
49.75,11.75
49.5,12.0
49.25,12.25
49.0,12.5
48.75,12.75
48.5,13.0
48.25,13.25
48.0,13.5
47.75,13.75
47.5,14.0
47.25,14.25
47.0,14.5
46.75,14.75
46.5,15.0
46.25,15.25
46.0,15.5
45.75,15.75
45.5,16.0
45.25,16.25
45.0,16.5
44.75,16.75
44.5,17.0
44.25,17.25
44.0,17.5
43.75,17.75
